20
0.7488526884087463	8.487809257899059
-8.980259671157192	5.73622912124884
-8.975678374720996	-2.2895999084212377
3.69765107366959	4.648571777450677
-1.5291053969395598	-7.100402358024837
-7.028763678647586	9.117083899244165
-4.31584516128116	1.1773495771036337
5.473941454947621	6.421625715668618
-7.283421110393714	4.105565448381348
-8.680773188073942	8.006534141891898
-0.12128017026832083	-9.306510523307914
6.818510800359661	-4.382310342322757
8.389657124078298	3.3247943040089964
-9.536817994216861	-8.500325931988534
-8.86079516319445	7.006412752701053
-6.465563505613137	3.3034120339464437
4.611120794893139	-3.298207373536151
2.048473054680642	3.4179778174402884
4.88920846020644	7.780692912223131
0.1863777513084095	6.119907280311352
30
9	19	16	15
11	13	7	12
19	10	16	1
3	19	14	4
16	7	13	15
19	3	14	4
5	2	19	11
6	18	10	12
17	18	2	1
20	2	4	16
4	9	15	8
1	10	4	11
15	17	8	12
11	16	12	13
3	20	4	6
15	19	16	2
11	9	15	2
6	5	11	16
10	15	8	6
13	6	11	16
8	4	9	6
15	2	8	1
13	2	16	9
12	6	10	1
14	15	19	8
1	20	14	5
12	7	10	16
2	17	6	4
4	9	6	3
14	17	13	7
